,query,BiGG_ID,hit,mol_weight,conc_ppm_Bact_Peptone_L37,conc_ppm_Proteose_Peptone_L85,conc_ppm_soya_peptone_L44,conc_ppm_yeast_extract,g/L,mmol/L
0,L-cysteate,Lcyst(e),Cysteic acid,169.156,,,,,0.0,0.0
1,L-Cystine,Lcystin(e),L-Cystine,240.30256,,,,,0.0,0.0
2,Adenine,ade(e),Adenine,135.1269,,,,,0.0,0.0
3,D-Alanine,ala_D(e),D-Alanine,89.09322,,,,,0.0,0.0
4,L-Alanine,ala_L(e),L-Alanine,89.09322,39200.0,38100.0,25700.0,9100.0,112.1,1.2582326691077053
5,D-Alanyl-D-alanine,alaala(e),D-Alanyl-D-alanine,160.17116,,,,,0.0,0.0
6,L-alanyl-L-aspartate,alaasp(e),Alanyl-Aspartic acid,203.17,,,,,0.0,0.0
7,L-alanyl-L-glutamine,alagln(e),Alanyl-Glutamine,217.22,,,,,0.0,0.0
8,L-alanyl-L-glutamate,alaglu(e),Alanyl-Glutamic acid,218.21,,,,,0.0,0.0
9,L-alanylglycine,alagly(e),Alanylglycine,146.14,,,,,0.0,0.0
10,L-alanyl-L-histidine,alahis(e),Alanyl-Histidine,226.23,,,,,0.0,0.0
11,L-alanyl-L-leucine,alaleu(e),Alanyl-Leucine,202.25,,,,,0.0,0.0
12,L-alanyl-L-threonine,alathr(e),Alanyl-Threonine,190.2,,,,,0.0,0.0
13,L-Arabinose,arab_L(e),L-Arabinose,150.1299,,,,,0.0,0.0
14,L-Arginine,arg_L(e),L-Arginine,174.201,49900.00000000001,58000.0,46400.0,33100.0,187.4,1.0757687958163271
15,L-Asparagine,asn_L(e),L-Asparagine,132.118,0.0,0.0,0.0,0.0,0.0,0.0
16,L-Aspartate,asp_L(e),L-Aspartic acid,133.1027,60599.99999999999,58500.0,70600.0,70700.0,260.4,1.9563840553196892
17,Biotin,btn(e),Biotin,244.31172,,,,,0.0,0.0
18,Calcium,ca2(e),Calcium,40.078,635.0,200.0,225.0,155.0,1.215,0.030315884026149008
19,Cob(I)alamin,cbl1(e),Cob(I)alamin,1330.3557,,,,,0.0,0.0
20,Cob(II)alamin,cbl2(e),Cob(II)alamin,1329.3478,,,,,0.0,0.0
21,Cellobiose,cellb(e),Cellobiose,342.29648,,,,,0.0,0.0
22,Cys-Gly,cgly(e),Cysteinylglycine,178.21058,,,,,0.0,0.0
23,Chloride,cl(e),Chloride ion,35.4527,10000.0,80000.0,4000.0,3000.0,97.0,2.7360398502793863
24,CO2,co2(e),Carbon dioxide,44.01,,,,,0.0,0.0
25,Co2,cobalt2(e),Carbon dioxide,44.01,,,,,0.0,0.0
26,Cu2,cu2(e),,127.09,1.0,10.0,2.0,2.0,0.015,0.00011802659532614682
